approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
155,383,12,550,6708,TOMBALL,Harris (County),4332,175,297,70,8,0eb62fa49ccb25e14cc5165316f65924,5a2f5292758c6e4347f891bc,2019-01-29T14:38:01.714Z,258,359923.0,796014,2469713.0,TX,3625651.0,5420204,808,1,1258,77375
195,596,140,931,9158,BEAUMONT,Jefferson (County),4332,149,346,148,109,8a3111b8f402857b62ac8dc49d5bd554,5a2f5292758c6e4347f89180,2019-01-29T14:38:01.726Z,401,1154551.0,907592,6315577.0,TX,8377719.0,10559647,1153,55,1798,77708
19,40,1,60,15978,THE WOODLANDS,Harris (County),4332,31,9,19,1,b539a57dda07f319fef9ae6922b14285,5a2f5292758c6e4347f891bb,2019-01-29T15:58:17.981Z,5,28789.0,140090,289344.0,TX,458223.0,1038608,65,0,73,77375
17,169,4,190,3481,TOMBALL,Harris (County),4332,27,102,12,4,a7d12b013aa388fde4e5557bc4bb2a84,5a2f5292758c6e4347f89175,2019-01-29T15:58:17.981Z,152,104906.0,97937,416242.0,TX,619085.0,1034062,297,1,508,77377
0,6,0,6,5588,THE WOODLANDS,Harris (County),4332,0,0,1,0,b4a038bcb2c481161afe0f91b5ad98c6,5a2f5292758c6e4347f891a3,2018-11-20T19:06:47.321Z,4,2500.0,3688,0.0,TX,6188.0,27942,5,0,10,77389
0,1,0,1,11245,MAURICEVILLE,Jasper (County),4332,1,0,0,0,e1430a7475871d972fc334282788d107,5a2f5292758c6e4347f8915c,2019-01-29T15:58:18.062Z,0,0.0,1162,0.0,TX,1162.0,11246,1,0,1,77632
1,0,0,1,10345,SHELDON,Harris (County),4332,1,0,0,0,9daf53ca17ae5f3cc0fadffac6dd9211,5a2f5292758c6e4347f891b6,2018-11-20T19:06:47.000Z,0,500.0,1742,9461.0,TX,11703.0,10345,1,0,1,77049
0,1,0,1,5710,TEXAS CITY,Harris (County),4332,0,1,0,0,ce409875be4b9453bc4260bd6b0e1af8,5a2f5292758c6e4347f89153,2019-01-29T15:58:18.061Z,0,500.0,0,0.0,TX,500.0,5711,1,0,1,77590
385,1497,82,1964,6307,BEAUMONT,Jefferson (County),4332,516,1156,252,60,84e9c974948186aee74885fdce7b0e9d,5a2f5292758c6e4347f8915f,2019-01-29T15:58:17.984Z,979,1798687.0,1675288,8109441.0,TX,11583417.0,18688626,2963,21,3933,77705
141,396,42,579,8883,SPRING,Harris (County),4332,125,221,109,62,980734c7771453ff5f96358818215469,5a2f5292758c6e4347f89151,2019-01-29T15:58:18.036Z,315,331526.0,769001,3286777.0,TX,4387304.0,7391075,832,13,1346,77388
3,25,1,29,6909,SHOREACRES,Harris (County),4332,12,13,4,0,b1c17878943c03e7048abdd7a4fd7f21,5a2f5292758c6e4347f8914f,2019-01-29T15:58:18.036Z,15,13127.0,27492,70285.0,TX,110904.0,304038,44,0,59,77571
0,5,0,5,791,MAGNOLIA SPRINGS,Jasper (County),4332,0,4,0,0,11e1be1c06d0465759d9459554d159b5,5a2f5292758c6e4347f8917c,2018-11-20T19:06:47.007Z,5,2000.0,2362,4511.0,TX,8873.0,7122,9,0,10,75956
