approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
0,4,0,4,497,HIDALGO,Hidalgo (County),1780,0,25,0,0,20584ef9914720643f88f1384677dc5a,5a2eb84a758c6e4347f55177,2017-12-11T16:54:34.168Z,1,299,0,6477,TX,6776,12925,26,0,37,78557
1,24,1,26,622,MCALLEN,Hidalgo (County),1780,1,108,0,0,06af08e2d8a3b272720cdaea3f763abf,5a2eb84a758c6e4347f5517a,2017-12-11T16:54:34.169Z,23,3838,14624,72024,TX,90487,82111,132,1,204,78504
33,730,5,768,1499,MERCEDES,Hidalgo (County),1780,29,1,3,4,b861e9e53459494f3d6668630752aa5e,5a2eb84a758c6e4347f55148,2017-12-11T16:54:34.139Z,131,268730,322518,1488801,TX,2080049,2176336,1452,5,1,78570
15,433,6,454,1354,EDINBURG,Hidalgo (County),1780,13,923,3,5,5910a69963ec6fa4ccd90bdb3f1bb7df,5a2eb84a758c6e4347f55142,2017-12-11T16:54:34.137Z,175,147709,187849,990430,TX,1325989,1514639,1119,6,1,78539
1,2,0,3,1633,PROGRESO LAKES,Hidalgo (County),1780,0,3,0,0,9c00cdf98675eb6c58e69266954bcf7b,5a2eb84a758c6e4347f5517e,2017-12-11T16:54:34.171Z,3,1640,2710,8395,TX,12745,9800,6,0,6,78596
1,32,0,33,658,PENITAS,Hidalgo (County),1780,1,90,0,0,0def8ab1eb3ea5efbef42a50cef95603,5a2eb84a758c6e4347f5514a,2017-12-11T16:54:34.140Z,17,7085,21057,33531,TX,61673,71080,108,0,111,78576
0,5,0,5,976,WESLACO,Hidalgo (County),1780,0,6,0,0,56b9a43864d09e50d6ebb9f72865945b,5a2eb84a758c6e4347f55110,2017-12-11T16:54:34.115Z,1,1006,0,4467,TX,5473,6833,7,0,7,78599
7,289,0,296,824,RAYMONDVILLE,Willacy (County),1780,5,721,0,0,9a9a6405c7c0863f3797a8544b664752,5a2eb84a758c6e4347f55151,2017-12-11T16:54:34.143Z,78,44926,93257,456321,TX,594504,662232,804,0,961,78580
0,10,0,10,1228,PALMVIEW,Hidalgo (County),1780,0,13,0,0,e9a2ffa164d950620910644806bfdc5e,5a2eb84a758c6e4347f5517c,2017-12-11T16:54:34.170Z,4,2119,2492,16785,TX,21395,20874,17,0,19,78574
2,140,0,142,605,SAN JUAN,Hidalgo (County),1780,2,372,0,0,a4f71702af337406fe464b54666461f4,5a2eb84a758c6e4347f5514d,2017-12-11T16:54:34.141Z,82,21289,52257,184397,TX,257944,275737,456,0,519,78589
0,1,0,1,3093,LYFORD,Hidalgo (County),1780,0,2,0,0,235fb7fff8f81ab17f972fdd7abdac73,5a2eb84a758c6e4347f55147,2017-12-11T16:54:34.139Z,1,299,1032,8015,TX,9346,9279,3,0,3,78569
0,6,0,6,907,LINN,Hidalgo (County),1780,0,12,0,0,d94102fec849988d50d42db68643590f,5a2eb84a758c6e4347f55179,2017-12-11T16:54:34.169Z,1,235,4722,6230,TX,11187,11787,13,0,13,78563
0,5,0,5,2377,SAN CARLOS,Hidalgo (County),1780,0,7,0,0,b4edb83144d323b050a5f180e63cb870,5a2eb84a758c6e4347f5517f,2017-12-11T16:54:34.171Z,1,3688,1460,13870,TX,19018,19016,8,0,8,78539
0,1,0,1,5128,EDINBURG,Willacy (County),1780,0,1,0,0,1745b861ba0840784963dca23442f910,5a2eb84a758c6e4347f550f2,2017-12-11T16:54:34.102Z,0,1635,992,3164,TX,5790,5128,1,0,1,78539
0,8,0,8,696,PALMHURST,Hidalgo (County),1780,0,23,0,0,e03970b96eaa4c8ce869950592361c33,5a2eb84a758c6e4347f55149,2017-12-11T16:54:34.140Z,6,930,2064,6612,TX,9606,20193,29,0,33,78573
25,510,4,539,1169,WESLACO,Hidalgo (County),1780,28,1,1,3,798c71e5c9062b94b60f6d429f9d2dfb,5a2eb84a758c6e4347f55181,2017-12-11T16:54:34.172Z,194,157582,208138,1096291,TX,1462011,1686370,1443,3,1,78596
4,224,0,228,1104,MISSION,Hidalgo (County),1780,2,395,2,0,265a08c01120b865bab6dd4de0cd93cd,5a2eb84a758c6e4347f5517b,2017-12-11T16:54:34.170Z,105,56389,117931,382492,TX,556812,556328,504,0,538,78574
1,6,0,7,1418,PORT MANSFIELD,Willacy (County),1780,1,22,0,0,523f5dc4324cf1aba49cefbe60e21f9c,5a2eb84a758c6e4347f55183,2017-12-11T16:54:34.173Z,5,900,992,27106,TX,28998,39701,28,0,33,78598
