approvedBetween10001And25000,approvedBetween1And10000,approvedBetween25001AndMax,approvedForFemaAssistance,averageFemaInspectedDamage,city,county,disasterNumber,femaInspectedDamageBetween10001And20000,femaInspectedDamageBetween1And10000,femaInspectedDamageBetween20001And30000,femaInspectedDamageGreaterThan30000,hash,id,lastRefresh,noFemaInspectedDamage,otherNeedsAmount,rentalAmount,repairReplaceAmount,state,totalApprovedIhpAmount,totalDamage,totalInspected,totalMaxGrants,validRegistrations,zipCode
1,112,0,113,911,DEER PARK,Harris (County),1606,0,150,0,1,0bff2d9cf6f0158bd1e37243e9df7a3f,5a2eb795758c6e4347f512d3,2017-12-11T16:51:33.019Z,243,19294,168529,14922,TX,202745,359120,394,0,971,77536
1,280,1,282,481,GALVESTON,Galveston (County),1606,3,393,0,0,1622b319b8ad9cd1684ac092fdf64486,5a2eb795758c6e4347f5132c,2017-12-11T16:51:33.069Z,269,62959,409996,104758,TX,577713,320020,665,1,1,77551
0,29,0,29,295,HOUSTON,Harris (County),1606,0,24,0,0,985a025fb77397b653d46086262fb2f4,5a2eb795758c6e4347f512d7,2017-12-11T16:51:33.021Z,39,5881,40801,8276,TX,54957,18558,63,0,119,77012
5,206,1,212,3476,STOWELL,Chambers (County),1606,4,161,0,6,151c705103d59ff3d33fecfd74fac0e0,5a2eb795758c6e4347f51319,2017-12-11T16:51:33.060Z,31,129581,322853,122756,TX,575190,702152,202,0,260,77661
10,614,1,625,1742,PORT BOLIVAR,Galveston (County),1606,7,442,2,2,c709dd0d9945272462d9941b8baae96d,5a2eb795758c6e4347f51335,2017-12-11T16:51:33.072Z,172,240518,1082194,365212,TX,1687924,1088838,625,1,938,77650
1,114,0,115,743,HIGH ISLAND,Galveston (County),1606,2,40,0,0,fc0a579c3ef045a29b526cc553ae2108,5a2eb794758c6e4347f5127e,2017-12-11T16:51:32.982Z,75,41092,174987,34101,TX,250180,86966,117,0,159,77623
2,355,0,357,3437,VILLAGE MILLS,Hardin (County),1606,2,243,1,4,b12536e1b7317262b81e610b050cc6ee,5a2eb795758c6e4347f512cb,2017-12-11T16:51:33.016Z,57,180046,537847,104635,TX,822529,1055094,307,0,454,77663
0,50,0,50,306,FREEPORT,Brazoria (County),1606,0,97,0,0,92ab0dd7d9cfb8e8611b863d9db04f16,5a2eb795758c6e4347f512db,2017-12-11T16:51:33.023Z,116,6378,57417,20219,TX,84014,65267,213,0,513,77541
0,1,0,1,27294,BRIDGE CITY,Galveston (County),1606,0,0,1,0,719576fc5ee35d5f440c7b039a9836c5,5a2eb795758c6e4347f512ae,2017-12-11T16:51:33.003Z,0,0,599,5200,TX,5799,27294,1,0,1,77611
1,277,0,278,251,LEAGUE CITY,Galveston (County),1606,1,298,0,1,c2c8c761a7cc2a8685adcac9f71f1017,5a2eb795758c6e4347f51334,2017-12-11T16:51:33.072Z,573,37083,443893,47005,TX,527980,219470,873,0,2,77573
0,3,0,3,1806,San Leon ,Galveston (County),1606,0,5,0,0,a8bb417945a30ad62200a727376dc69f,5a2eb795758c6e4347f512be,2017-12-11T16:51:33.010Z,0,532,4599,2670,TX,7801,9028,5,0,5,77539
5,389,0,394,738,DICKINSON,Galveston (County),1606,5,508,0,1,73f484946749904c84d1c56383d6a9c7,5a2eb795758c6e4347f512ff,2017-12-11T16:51:33.049Z,495,55910,557684,246826,TX,860419,744480,1009,0,2,77539
3,319,0,322,475,BAYTOWN,Chambers (County),1606,2,396,0,1,04933103791994b30f1ae4e13208a527,5a2eb795758c6e4347f5130f,2017-12-11T16:51:33.056Z,347,78491,407282,95159,TX,580932,354589,746,0,1,77520
0,1,0,1,6191,HANKAMWE,Chambers (County),1606,0,1,0,0,57886c13ceae575a2eb02876ceb9e9f2,5a2eb795758c6e4347f512e7,2017-12-11T16:51:33.028Z,0,807,2000,0,TX,2807,6191,1,0,1,77560
14,1,1,1109,1413,ANAHUAC,Chambers (County),1606,3,908,0,7,824db26c62591fa09a5931d0fc056e1f,5a2eb795758c6e4347f512e2,2017-12-11T16:51:33.026Z,259,494793,1599993,420453,TX,2515239,1663567,1177,0,1,77514
1,178,0,179,826,SAN LEON,Galveston (County),1606,0,259,1,0,9ce3aabc11723a07e04daf7dbf4600ea,5a2eb795758c6e4347f5130b,2017-12-11T16:51:33.054Z,123,21909,215729,145821,TX,383459,316213,383,0,533,77539
5,1,0,1340,1475,SOUR LAKE,Hardin (County),1606,11,883,2,1,b8e3c40eddf0746eee95ecb7a3589b65,5a2eb795758c6e4347f512ca,2017-12-11T16:51:33.015Z,248,528759,2289182,335233,TX,3153174,1688804,1145,0,1,77659
0,19,0,19,1227,HULL,Hardin (County),1606,1,16,0,0,482bcd0213bd790601cd2ce4030e53fe,5a2eb795758c6e4347f512c6,2017-12-11T16:51:33.013Z,4,7962,22000,1998,TX,31960,25765,21,0,25,77564
2,162,1,165,786,SANTA FE,Galveston (County),1606,0,227,0,3,99ac63de40c6993fd3c111e0a1305b64,5a2eb795758c6e4347f51337,2017-12-11T16:51:33.073Z,285,46396,212277,147908,TX,406581,405016,515,0,1,77510
3,344,0,347,592,CROSBY,Harris (County),1606,4,466,0,2,c71613917cf3fea818de0356c616704e,5a2eb795758c6e4347f512d2,2017-12-11T16:51:33.019Z,429,67559,423090,153603,TX,644252,533333,901,0,1,77532
0,196,0,196,1683,WALLISVILLE,Chambers (County),1606,1,157,0,1,3b31d05aca90a492dbfa4a3c4450e4cb,5a2eb795758c6e4347f5131a,2017-12-11T16:51:33.061Z,57,87005,236415,79536,TX,402956,363610,216,0,267,77597
1,8,0,9,1529,OAK ISLAND,Chambers (County),1606,0,8,0,0,9af0851365b8271ba30c68e48ceeb657,5a2eb795758c6e4347f51317,2017-12-11T16:51:33.059Z,3,7960,18156,3305,TX,29421,16822,11,0,15,77514
0,12,0,12,4028,SUGAR LAND,Fort Bend (County),1606,0,10,0,1,1853db1932df8c37597bc69ff524a2ce,5a2eb795758c6e4347f51322,2017-12-11T16:51:33.064Z,41,807,22000,0,TX,22807,209474,52,0,130,77478
0,24,0,24,159,HOUSTON,Harris (County),1606,0,14,0,0,5a9129fc93bd1e4ce2a5027ce34eb4e4,5a2eb795758c6e4347f51345,2017-12-11T16:51:33.258Z,54,74,35602,6498,TX,42174,10794,68,0,124,77009
0,36,0,36,217,HOUSTON,Harris (County),1606,0,44,0,0,ce089fd7fdc3fe9d23b1ebe8f5a2ddd8,5a2eb795758c6e4347f51344,2017-12-11T16:51:33.258Z,54,340,49071,7725,TX,57136,21313,98,0,184,77004
4,563,0,567,291,BAYTOWN,Harris (County),1606,1,721,0,1,4b5f3b6d4c8458db48f0137b62882b27,5a2eb795758c6e4347f5133c,2017-12-11T16:51:33.255Z,757,85059,772346,112929,TX,970334,430131,1480,0,2,77520
0,65,0,65,235,HOUSTON,Harris (County),1606,0,89,0,0,7bcfe2e89490c8544d66d899b0a14b5c,5a2eb795758c6e4347f5134d,2017-12-11T16:51:33.262Z,66,4433,83233,15747,TX,103414,36490,155,0,268,77051
0,26,0,26,198,HOUSTON,Harris (County),1606,0,45,0,0,f0d8b3f19b50f46800a2fe22e9457cd9,5a2eb795758c6e4347f51354,2017-12-11T16:51:33.265Z,45,1833,43071,4602,TX,49506,17823,90,0,191,77086
0,51,0,51,230,HOUSTON,Harris (County),1606,0,82,0,0,2677be519d8df2a044b127569a20f60b,5a2eb795758c6e4347f5134c,2017-12-11T16:51:33.262Z,70,3319,70000,12346,TX,85665,34958,152,0,324,77045
0,38,0,38,203,HOUSTON,Harris (County),1606,0,60,0,0,e6892f6b4d97405f9d8580c3f96db1e9,5a2eb795758c6e4347f51355,2017-12-11T16:51:33.266Z,76,3765,38657,12277,TX,54699,27557,136,0,220,77091
0,34,0,34,249,HOUSTON,Harris (County),1606,0,46,0,0,7e86e12221d2f8c2da30ecb9702cb282,5a2eb795758c6e4347f51350,2017-12-11T16:51:33.263Z,39,2424,46148,7493,TX,56065,21182,85,0,181,77066
0,27,0,27,163,HOUSTON,Harris (County),1606,0,43,0,0,72b10c6e614cc0fa2bb4b0d74a4fb5fe,5a2eb795758c6e4347f51351,2017-12-11T16:51:33.264Z,54,1197,38657,3234,TX,43088,15793,97,0,190,77071
0,56,0,56,339,HOUSTON,Harris (County),1606,0,84,0,0,58eea97dea5ab09ae9c57b93207eddf4,5a2eb795758c6e4347f51347,2017-12-11T16:51:33.259Z,58,5171,68801,27873,TX,101845,48093,142,0,238,77020
0,301,0,301,315,LA PORTE,Harris (County),1606,0,333,0,0,02a4b50896325128013be8aab4667130,5a2eb795758c6e4347f51360,2017-12-11T16:51:33.270Z,509,31034,426482,80331,TX,537847,264865,842,0,1,77571
0,21,0,21,427,HOUSTON,Harris (County),1606,0,35,0,0,958223bde93ed8c4399b185a1407d9c4,5a2eb795758c6e4347f5134f,2017-12-11T16:51:33.263Z,38,855,34943,7442,TX,43239,31140,73,0,165,77061
0,155,0,155,345,PASADENA,Harris (County),1606,0,194,0,0,185d2b8a77d2539ae81a9d2950c0d9b0,5a2eb795758c6e4347f51365,2017-12-11T16:51:33.273Z,166,14541,195499,42204,TX,252245,124318,360,0,770,77506
0,21,0,21,3269,WEBSTER,Harris (County),1606,0,20,0,1,9bd3bba0f91677293a04cf91339c78b4,5a2eb795758c6e4347f5136c,2017-12-11T16:51:33.276Z,74,1026,38000,166,TX,39192,310566,95,0,248,77598
0,22,0,22,263,KINGWOOD,Harris (County),1606,0,22,0,0,eec325cfbe6471b120b91a0ab13754f6,5a2eb795758c6e4347f5135f,2017-12-11T16:51:33.270Z,31,9682,22000,2643,TX,34325,13929,53,0,84,77345
1,233,0,234,411,HOUSTON,Harris (County),1606,0,283,0,1,bd5eb710b33ac57c3d57e0da7ab626e3,5a2eb795758c6e4347f51346,2017-12-11T16:51:33.259Z,301,26738,311217,103076,TX,441031,240651,585,0,1,77015
0,18,0,18,51,FRIENDSWOOD,Harris (County),1606,0,12,0,0,61745472b93a9ce2cfbe12c3b3470203,5a2eb795758c6e4347f51342,2017-12-11T16:51:33.257Z,101,1833,31071,615,TX,33518,5736,113,0,284,77546
0,0,0,0,6074,DAYTON,Harris (County),1606,0,1,0,0,c1e0e50e3d9e00368e18d7d7022db0d2,5a2eb795758c6e4347f51380,2017-12-11T16:51:33.285Z,0,0,0,0,TX,0,6074,1,0,1,77535
42,4,1,4462,2119,LUMBERTON,Hardin (County),1606,27,2,3,36,b4783cc4a9e7d8426679d9f7f9468b83,5a2eb795758c6e4347f51375,2017-12-11T16:51:33.280Z,686,1743704,7804467,1227870,TX,10776041,7800456,3681,1,5,77657
